文本序号	文本内容
179	凯美瑞的空间是其一大卖点，前后排空间都很充足，比如说我有一哥们，贼胖，体重210，180大个，坐在副驾驶都没有压迫感，他跟我说哥们你这车太适合我了，要不你把他赠送给我当我的生日礼物？我在心里默默的翻着白眼，然后说到想得美。而且和朋友以及同事出去自驾游的时候，我家小凯的后备箱就派上用场了，什么行李箱啊，小零食啊，以及一些户外用品啊，通通都交给它了，所以我还是很满意的。
180	接近五米长的车空间真是没得话说。不管是前排还是后排，随便怎么坐都宽敞舒服。后备箱空间挺大的，回老家拉点东西完全够用
181	凯美瑞的空间在b挤车里面算是不错的了，前后排都很宽敞，后排坐满三个成年男子也没问题，腿部空间足够大，对比同级别空间最强的迈腾会稍微小一点，后备箱又深又宽，到目前为止还没有出现过后备箱不够用的情况
182	这款车的空间还是相当可以的，我还是比较知足的，因为按车型来说我这款车也不是太紧凑的车型，按我开车的体验来说，驾驶的空间感非常舒适，姿势调整的非常到位，现在开车对我来说还是很享受的事情，后排的空间三人位还是很宽敞的，就我这样的大体格子，坐三个这样的自己不拥挤，后备箱的空间很喜欢，空间设计的很人性化，几乎没有死角，放东西还是比较便利的。
183	我们家美美的空间很大呢，我简单的普及一下，前排座椅放倒往后调，躺在座椅上睡觉一点都不觉得难受，座椅很挺宽，后排呢，我一般也不怎么坐，刚把美美提回来的时候，我坐上去感受了一次，后排座椅坐上去确实的很舒服，平生约上两三人，坐上去也不会觉得拥挤，成人躺上去也不觉得紧巴，这两排座椅之间的距离也足够了，车后备箱的空间也是够用，平时放点杂物都可以承载下。
184	空间家庭自用够了，就是后排凸起感觉是美中不足的。不过厂家这样设计肯定是有他们道理的。后备厢容积大大大，回老家后备箱东西装满，卸下来以后放家里竟然像搬了场家一样
185	作为一款商务机的车空间肯定是它的优点，前排的空间不用说，后排的空间还是比较舒服的，人坐着在里面没有拥挤的感觉，它的亮点就是它的尾箱空间特别的大。凯美瑞后备箱不仅大而且深。
186	后备箱用很多的材料做了一个内包的设计，但是它整体的深度以及宽度设计都觉得都是没有问题的。而且还有一点很好的地方，就是它的后备箱这个位置，有两个可以将后排座椅比例放倒的按键，这个地方很好用，当需要扩展后备箱的时候，就可以直接从后面操作，省了很多的麻烦事。
187	空间这个没什么好说的，家用不可能会有什么特别的局促感，购车的时候一部分原因就是空间比较不错才选择的，加上储物空间够大，基本上很长时间是不用考虑换车了~~家人乘坐评价老爸老妈岳母大人都一致评价，坐着很舒服~~手动点赞
188	空间够用，后排很宽敞，前排坐的没压力。储物柜很多，可以藏很多东西。后备箱的储物能力惊人！☆空间设计亮点储物空间很多，后备箱很宽敞，后排很宽敞，坐3个大人没压力
189	空间表现还是很不错的，当时买车得时候对比了雅阁，迈腾，都有点不是很满意，后排的地板有点高，没有凯美瑞的平整，这个对于后排乘客来说，还是很有必要的，另外就是这个大天窗，坐进车里感觉没有那么压抑了，心情很好。晚上打开还能看星星！后备箱的空间也比较大。而且还支持座椅放倒，这样就有个更大的空间！实用性还是很高的！
190	我是172cm的个子，这款车的空间非常充裕，后排坐进去翘个二郎腿都没有问题，头部空间还会有一拳多的空间
191	B级车的空间对于我们一家4口人的日常使用已经足够了，储物的空间也很充足哦，前后排座位调到了正常距离坐着也是非常舒适的，本人有180身高，80KG的体重无论坐在主副驾空间都是比较宽敞的、还有他的超大后备箱容积，经过本人亲自尝试了放进了2个28寸行李箱，还可以放很多小的物品
192	这款车是我人生的第一辆车，说实在的，这还是我做过的最大的五座车。空间真的是让我特别满意的一个方面，中型SUV本身就比小型SUV要大的多，而且这款车的高度也够像我一米八五的身高，坐在驾驶员的座椅上也不会有紧促感，这个空间真的很不错。
193	我身高187，体重将近200斤，算是很魁梧的了，但开凯美瑞也没什么困难，上下车也很顺手，你就想它空间能小么，还有后排空间也足够，我一般平时谈业务都是在车上完成，我在后排坐着也能找到很舒适的位置，虽然我有点胖，但就算坐在后排很长时间我都不觉得憋气，要是换我之前的车呀，没一会就觉得窝的难受了，还有后备箱也是挺大的，我每次去会场都会带好多样品，后备箱都能统统放下，中型车就是好，不但座位空间大，后备箱也很大，但光看外形，却不觉得比紧凑车型大多少。
194	这台车的空间首先在轴距尺寸上，就已经说明了内部大空间了，前排就不说了，我的车平时后面还要加一个儿童安全座椅，但是这丝毫不影响他后排空间的发挥，不管是前后还是左右的距离都非常的宽。车内储物能力车内储物格的设计真的很贴心，不管门板还是中控扶手，随手想放东西基本都能找到地方，很人性化。☆空间设计亮点我觉的空间设计上最有特点的就是中控下面放手机那里，防滑设计已经够贴心了，关键是下面还藏着一小储蓄空间，绝佳的私密场所。
195	空间也是够可以的，尤其是这台车的后排空间，各种坐姿都是没有问题的，只要不是非常的胖，哈哈。而且内部的储物空间也设计的非常人性化，后备箱空间特别大。
196	车身长度快五米了。很大气。内部空间也非常大。基本上前排调到合适的位置。坐后面的人都能翘个二郎腿了。座椅还是十向电动调节的。可以满足各种体型身高。方向盘也可以调节。后排空间还不错。就是中间位置只能坐小孩儿。后备箱空间非常大。能放四五个大箱子。出差回老家拉点儿货什么的，很方便。
197	空间都很不错，我185的个头，在普通人里面也算是比较高的了，凯美瑞对于我的宽容度也是比较高的，调整好合适的坐姿之后，头部和腿部的空间还是比较宽松的，老婆175的身高，坐在车里也没有一次抱怨凯美瑞的空间的。我们一家子都对凯美瑞的空间很满意，后备箱空间也不错，有时候出去玩，装我们一家的行李是很够用的。
198	空间没的说~我173前排后排都挺舒服的，不顶头不屈腿，满意~
199	空间还算不错我比较喜欢半躺着开车舒服乘坐空间我183，体重70，座椅我一般都是躺着开车调的姿势也比较靠后，感觉空间是不用担心的必经都b级车了，这点资本还是有的
200	空间真的很大，尤其是后排的乘坐空间，表现得非常好，整体非常的宽裕，我183cm的身高，前排调到自己舒适的坐姿之后，后排足足还有一拳多的余量，可以说是非常优秀的表现了，后面乘坐的时候根本不用担心空间不够用的问题，无论你怎么坐，都能很轻松的找到自己舒适的坐姿。储物空间表现也很满意，尤其是后备箱这一块，开口非常的大，往里面的纵深也特别深，感觉都已经快赶上一般的C级车的后备箱空间表现了，日常家庭使用肯定是足够了，偶尔放一点大件行李也没有压力。
201	车的空间很大，足够我们一家子的日常使用了。车身很修长我个子1米8的坐在后排完全没有压力更别说我爸妈他们了。后排坐个两三人绰绰有余再也不怕拥挤了。当时就是嫌弃之前那小车后排和后备箱太小才换的车。现在我们一家人坐上去后备箱还可以放很多的东西很满足。这完全是我期望的。空间大座椅坐得舒服一些，出游也会心情舒畅。
202	我的身高是175，体型中等，从前排来看空间是很不错，我能完全调整到一个非常舒适的坐姿，而且车子的主驾驶是有肩部合影腰部的调节的，很人性化的设计。车子的乘坐空间也是很满意，比较当初选择B级车的目的也是想要空间大点。打开天窗，室内敞亮，空间有一种更大的感觉。当初买车也有朋友推荐我买SUV，一来我觉得不适合我的年纪，二来SUV的舒适度肯定也没有轿车来的舒服。后备厢容积后备厢很大，我的东西也不多，就是会放一双球鞋，还有羽毛球拍，不忙的时候会和朋友约爬山和打羽毛球，觉得自己年纪大了，更应该注重自己的身体，爬山和羽毛球正好适合我。
203	作为一台中大型车，空间是充足的，我178，将驾驶位座椅调到最舒服的位置后，头部与车顶之间距离是一拳一指，膝盖距离一拳，身体活动很自由，拿东西也很方便；后排很舒服，两个180大汉子坐着也没有局促，我一般不会让后排坐三个人，一是因为后排中间地面是凸起的，坐中间的那位会不舒服，二是我个人的偏执，后排绝对不能坐三个人，两个人宽宽松松开个黑。
204	整体空间很满意，因为没有看别的车，没有横向对比过，但大家都说宽敞！我个人用车也觉得挺宽敞。车内储物能力储物能力还是挺强的，尤其是扶手箱感觉空间非常大。中控底下那个小格子感觉有点鸡肋，也放不下什么东西，可以放硬币。副驾驶那个储物柜空间属于中规中矩吧。乘坐空间我一米八的个子坐在驾驶席上，头顶稍稍有些空间不足。但毕竟是轿车，这点是肯定的。后排空间很大，同事们都说大坐在后面翘个二郎腿都可以。后备厢容积我个人觉得后备箱是非常大的，因为可以装三个旅行箱，还有一堆杂物，搬家的时候(单身)有一小半儿东西能装在后备箱里。里面可以躺两个人，一男一女。
205	车子的空间，我觉得很不错。首先就是车内的空间很大，无论是驾驶座还是后排都很宽敞，人坐着不会觉得太狭挤，后排坐三个成年人是完全没问题的，一点都不会感觉到拥挤。而且车子的车顶也不低，也不会让人感到压抑。车子的后备箱我觉得很大很深，对我来说已经很够用了，再加上车子里面也有很多小的储物空间。尤其是手扶箱那边有一个比较大的储物格，这是真的很实用。
206	凯美瑞的空间表现是没的说的，前排座椅调节很宽敞，我170的身高座椅还得往前调，这驾驶空间就算是180的大胖子也不会觉得挤。后排座位坐三个成年人没问题，腿部活动的空间很大，一点也不拘束，中间底盘突出来也不是很高，这点很舒适。后备厢容积后备箱容积算是我见过同级别车里面非常大的一款了，整个深度，还有开口宽度都很大，方便装大件东西，日常家用，远途旅行都够用的。
207	空间对我我这种163的萌妹子来说算很大了，后排空间座三个成年人还是很宽裕的。后备箱放两三个20寸的行李箱还是小意思。
208	本人178驾驶位调到一个舒服的位置，后排的空间依然很充裕，虽然对比迈腾和亚洲龙差点，不能跷二郎腿，但是对于普通的中国人体型来说已经能够满足了！
209	1，空间，平时都是自己开，没事去后排躺会，我1米七多点感觉头部空间什么的完全没问题，五个人坐满也不会觉得拥挤。2，储物，后备箱的话我觉得还是挺大的，车轮上方的后备箱有两个凹进去的空间大概能放两件啤酒，别小看这点空间，真的是能让整个后备箱的储物能力达到极致。3，设计，溜背式的造型造成了后备箱的入口高度低了点但是后背箱的空间够深，反正后备箱的整个储物能力对于我来说真是绰绰有余。4，朋友坐过都说挺舒服的，等爸妈回来开车去接他们一定很方便。乘坐空间171，不高也不矮，我开啥车都舒服，真好哈哈。后备厢容积装两个行李箱，在加大包小包4个左右还能放些杂物。车内储物能力储蓄中控扶手很深，买了个分层的托盘，再加上两侧，储蓄空间可以说是很丰富了。家人乘坐评价舒服，家人也不会怎么请假，坐了都说舒服，我听着也舒服。☆空间设计亮点空间亮点谈不上，中规中矩吧，但是后排的中间突起不是很喜欢。
210	空间，就一个字，大！我178，,100Kg，但无论坐那个位置，都不觉得小。后座三个成年人不觉得拥挤，后备箱也是足够的大，最起码放三个20寸的旅行箱没有一点问题，还能再放一些其他的东西。
211	后排空间和我的卡罗拉比较宽敞很多。
212	新款凯美瑞的空间是很充足的，一家三口人坐在车里面感觉无比宽松，没有任何空间方面产生的压力，前两天一个大学同学出差来我们这里，开车陪他玩儿了几天，中途他买了很多当地的土特产回去要分给他公司的同事，整个后备箱和后排都装得满满的，此时我才觉得这辆车的空间确实很不错，这么多的东西都能装在里面，以后过年开车回老家也不用愁了。
213	空间无需担心，日系中型车向来都以空间见长，凯美瑞也不例外。后排的空间对于我175的身高来说还非常宽敞，车顶也是特意做了挖空的设计，不用担心头发会蹭着顶棚。储物空间上表现得也很不错，中控的扶手箱很深，能装许多东西。后备箱的容积算是中型车里面的平均水准，一般来说够用了，座椅也支持比例放倒，只要在后面拉下拉杆，再把座椅翻折过去就可以，用起来也很简单。
214	对于一个车长四米九左右的大车来说，车里的空间没有浪费这么大的尺寸的车身。我身高一米七五，座椅调得比较靠前靠上，这样我开车的时候视线很好，后排再坐进去一个和我身材一样的人能很宽敞。后排适合坐两个男士和一个女士，要是坐三个男士的话，横向的空间会稍显拥挤一些。后备箱的容量很大，而且尾箱的开口也很大，取放物品的时候很轻松，不会因为开口角度小而不好拿东西。
215	空间来说都很不错，坐5个人没有问题，除非你身高超过2米另谈，基本上腿部和头部的空间剩余都有一拳以上了，车里的储物空间也比较多，放一些小零碎很方便。后备箱空间很深，可以放的东西很多，一般装3、4个行李箱是没问题的。
216	空间很满意，我个头176厘米体重75公斤，坐上去头也碰不顶，坐位也不觉小，非常贴合。还有我们家5口人，一起出去游玩完全没有压力可言，这空间还是很足的。还有后备箱存放空间也是很大的，感觉可以赛进去2个成年人都不成问题，过年回老家，年货带得多点也不用怕了，有的是空间。坐在后排膝盖与前排还有一定距离，很宽松。后备厢容积后备厢容积很大，放6个旅行箱没有一点问题。家人乘坐评价座椅很舒适，柔软，后排就是坐4个人也不拥挤。
217	我跟我的父母生活在同一个城市，只是在城市不同的区域，周六周日或者法定小长假我们都会聚在一起吃饭或者搞一些家庭活动，例如自驾或者烧烤又或者一家人去看个电影，这些活动对于我们家车空间是有一定要求的，父母和孩子一般都会选择坐在后排，我来开车并且老婆坐在副驾驶，丰田凯美瑞的空间确实很大，满载的状态下都是有一定空间剩余的，坐在车里面很宽松而且后备箱的空间也特别充足，我们从来都不觉得有空间方面都不舒适。
218	站在我个人的角度去看待，后排的空间是整个车的亮点，确实是大而宽敞，我的小侄女很喜欢坐我的车，而且也只坐后排，问她为什么不坐前排非要坐后排，她说她喜欢一个人在后排玩耍，不过我不敢这样做，出于安全考虑。前排的空间确实不能与后排相提并论，不过对于我这种路人水平的人来讲，是有一定的预留空间的。☆空间设计亮点作为有一个购物狂作为老婆的大男人来说，怎么敢买空间小的车，尤其是这个后备车厢。大包小包什么的不在话下。我放一个水杯和一些单据，有时候还可以把钥匙放在这里，没有半点压力。
219	空间真的不要这么大，前排座椅我一个165的坐在主驾空间完全够，腿部，头部的空间绰绰有余，我老公175，有点胖，坐在副驾这空间很够用的，后排空间也是够得，腿部不难受，也是比较自在的，但是坐满3人还是有点拥挤的。储物格到是挺多的，不少的东西都可以放的下，拿起来也是方便的。后备箱的空间绝对是大的，这样的空间可以容纳2个行李箱不是问题，开口挺人性化的，拿、放都是方便的，还有就是后备箱挺深的。腿部空间，随意安放
220	乘坐空间非常不错，我身高180体重160斤坐在后排感觉还是比较合适的，头顶大约还有一拳左右的距离，腿部大约还有两拳左右的距离，我觉得在同级别的车型里面空间表现还是可以的，平时都是老婆和孩子坐在后排空间是足够用的。
221	小凯的空间方面个人觉得还不错，值得说一点的就是档把前面的那个储物空间，拉伸式的，能放置钱包啊手机啊这些东西的，相当实用的，后排坐下后翘起二郎腿不成问题，唯一小遗憾个人觉得后排中间突起有点不大舒服。
222	凯美瑞的空间，是我试驾中印像最深刻的优点了，坐在里面真的是宽敞啊。我身高172公分，体重70KG的样子，坐在驾驶位别提多舒服了，头顶离车顶还有一拳多的空间，即使我坐的很直也不会有丝毫的压迫感。老婆和儿子坐在后排，也是非常的轻松，想怎么座就怎么座，没有一点的拘束。车内储物格充足，设计人性化，证件饮料都能随手放，非常的方便。后备厢空间也令人十分满意，至少儿子的推车可以轻易地放进去了。有时间我们就去外面放松一下，行李衣服和用品背包，还有吃的喝的全部塞里面也是没有任何问题，对比之前那部F0，无论是乘坐空间，还是储物空间，都大的多。一提车老婆就大发感概，还是要努力工作多赚钱啊，贵车坐着的感觉完全不一样。
223	小凯在B级轿车里是很大的空间了，不管是开车还是乘坐的空间都非常大，上面说到我家里吨位不是很小，但是都说坐的舒服，都没有拘束感，后尾箱的空间也很大，自己家用是足够有余
224	车子空间大就是好，人坐在里面很舒展，尤其是坐在后面的客户，特别舒适。每次接待客人的时候，一般都是我和客户坐在后排，由同事负责开车，有好几个客人都说凯美瑞的后排很宽敞，坐着特别的舒服，外观也有一种很大气的感觉，并不比那些豪华品牌差多少。当然也有可能是客户对我客套话的礼节性回应。前排我自己也是经常坐经常开，像我这种路人身材，坐在前排没有丝毫压力。
225	凯美瑞自佳美一代开始空间都是没得说的，我觉得相当不错，前排后排的储物格也非常多，平时放些鸡零狗碎的小物件，我身高180，前排调到我正常驾驶位，后排媳妇还可以葛优瘫，可见空间这一方面的无敌，后备箱也算行，这辆车的后备箱在我看来算是够用了，放上孩子的婴儿车，再拉点吃的喝的，一家人出去自驾，一点问题都没有。
226	空间在b级车中不能算的上最大，但是我觉得绝对够用，日系车在空间优化上设计真的挺不错的，前排的储物空间也很多，档杆前面还可以放手机，很方便，后排座椅也很宽大，很软和，坐起来也很舒服，唯一一点不美的就是这个地板不是纯平的，有一点隆起，相对于大众要好的多，这个高度也不是太影响乘坐感受，还是可以接受的，而且这个副驾驶上面还带有老板键，这个档次感瞬间就上去了，平时前排不怎么坐人，就把座椅调到最前面，做后边就是老板的待遇！很舒服！
227	空间很满意，这款车的轴距是2825mm，单从数据来看，不算是长轴。但是里面的空间利用的非常好，在前排调节好的情况下，后排坐好距离前排还有两拳半的距离，可以说是非常宽敞了，坐满五个人的情况下，也一点也不挤。
228	空间满意我身高不高所以驾驶位靠前了点，导致后排很宽敞。腿可以伸直家人乘坐评价副驾驶座位比驾驶座位要舒适很多，没有驾驶位那么硬。座位孔洞容易卡细小的垃圾。后备厢容积上次跑高速坐4大2小，放行李也还可以，过年后备箱估计要满载南方雨季雨伞要多备，宽度长的雨伞放下还余后备箱天花板省材料这个拉杆一拉就可以到后排去放倒车内储物能力门板储物格能装一瓶水、手套箱顶部可以放行驶证、中央扶手、中控下方储物格都比较大这个地方手机不好放，可以放钥匙下面的储物空间不宽，但是很长这个推拉的地方放手机比较合适，软搪材质防滑，手机放这里也不影响推拉☆空间设计亮点该长的地方长，宽度也够，其实可以放很多东西了这个地方放瓶瓶罐罐可以，但是放没盖子的杯子会洒出来储物曹真的很长中间有凸起隔断下很好用
229	从车身的设计尺寸就可以看车这台B级车的空间不会小，坐进车内也可以感觉出空间不会那么紧张，后排坐3个成年人（前提是中等身材的人），在同级别车型中这空间可以算得上中上游水平了。家人乘坐评价当初买车的时候就考虑到之后要在后排放二宝的安全座椅，所以毫无犹豫地选择了一款空间宽敞的B级车。家里人都说这车的空间足够宽敞，一家四口出行游玩也特别的方便。
230	这台车是我的第二台车。也是因为有了孩子吧，原来买的长安cx20就是为了代步。现在就显得空间实在是不够用，为了孩子着想。这台车我买了空间大一些的b级车。它确实属于比较大吧，空间上跟我的cx20肯定是没法比的呀，大太多了。上一台车坐进去几乎就没什么空间了，就像把自己缩在一个小角落里一样。这台凯美瑞就完全不会给我这样的感觉。它的前排空间表现特别优秀。我坐在里面可以自己调节座椅，找到好的驾驶姿势。然后还能自己找到包围感，也算是一种安全感吧。头顶在你完全舒适的姿势还能有个10公分的距离吧。我身高180，大概就是大部分人的感受了。然后腿也不会顶在驾驶台上。就感觉开车变成了一种享受吧。后排空间更是绝对的b级车标准，我在后排可以敲二郎腿，就还差一点点才能顶到前排座椅。腿平放的话，空间是非常充足的。几乎不可能有施展不开的感觉。一般后排是老婆和孩子坐，所以我现在对这台车的要求就是后排空间要大一些，这台车完全满足了这一特征。后备箱就一个感觉深！打开光线都不能完全照进去，后面还是很深的，可以装很多东西比如小车，孩子的玩具之类的我全都放在了里面。仍然有不小的空间。
231	空间很大，就是头部空间不是很高，但是腿部空间还是挺厉害，家用合适，安了儿童座椅都很大。
232	空间对于我来说真的是绰绰有余，因为平常都是我和我老婆上下班使用，加上本人个子也不高，跟我之前的a级车比起来真的是宽敞太多了，平常偶尔接接父母，带带同事，朋友基本都夸我这车宽敞，后备箱也足够大，因为我平常因为工作需要经常要放一些酒，矿泉水之类的，都可以一次性放下满满好几箱，这一点好评，总的来说家用还是完完全全足够了
233	前排空间非常充裕，即便是我这样的大高个，坐在副驾驶上，腿部可以伸展，头顶和车顶也有一定的距离，即便是戴帽子的情况下，也不会碰头，后排座椅和前排坐椅间距还算可以，两个宝宝坐在后边，是完全足够的，后排的地面近乎水平，即便是坐三个成年人，对坐中间的人也非常的友好，车内的收纳空间比较多，开车的时候手机和证件有地方可以摆放，后备箱容量也够大，行李随便放，过年回老家的时候，可以放好几个行李箱，非常的实用。
234	毕竟是B级车，拥有比A级车更有优势的车长，当然车内空间也更大。以前我们那台cx-4的空间其实就已经足够了，现在的凯美瑞空间更大，坐在里面更舒服，而且它的内饰设计一点也不侵占空间。就比如我这一方，没有多余的按键也没有而凸起的设计，整个内饰非常平整，让空间显得更加宽敞。后排对于老婆和孩子来说也很好，我开车喜欢把座椅往前调，所以我孩子坐在上面伸直了腿都蹬不到我的座椅呢。
235	空间是比较大的，能坐五六个人，而且人坐在里面还有很大的空隙，在车里坐满人的时候也不会显得那么拥挤，比起那些别的小轿车来说空间要大的多，后备箱的空间也很大，比如说一家人出去野餐的时候，食材帐篷什么的都能放下，再比如，带小宝宝出去玩的时候，婴儿车放在后备箱里面还会有很大空间的，日常也基本够用，目前也开了有一段时间了，目前来说还没有遇到有空间不足的情况出现。
236	我的身高是178，调节到我的驾驶位置，前排坐着头顶还有1拳头的空隙，媳妇开车喜欢把座椅调的高点，也能有一拳头的空间，按照我的驾驶习惯调好前排，我坐到后排，空间也不错，能翘个腿，活着来个葛优躺。后备箱底板平整规矩，进深和宽度都挺大的，最多一次装后备箱里头塞了3床大棉被和6个枕头。
237	作为一台B级车而言，它在长宽高方面的设计就已经保证了车内空间的大小，这是毋庸置疑的，凯美瑞一直以居家舒适为设计理念，所以在空间方面的设计也是比较合理的，坐进去一点都不会感到有感到拥挤，而且后排坐3个中等身材的成年人也是不成问题的。后备厢容积当初担心轿车的后备箱空间不够用，结果让我感到很意外，没想到凯美瑞的后备箱空间设计也是比较合理的，放下2个24寸的行李箱后还有富余的空间放其他杂物。
238	空间方面很不错，第1次坐满5个人就是提车当天，我们一家人都去了。前面坐两个人，后面坐三个人，全家感受都很好，特别是小孩还能在车里跳，这也得益于它的车长吧！后备箱的空间很大，主要是纵深比较深，没有我以前那台A级车呢局促感。
239	空间非常宽敞，放东西的地方也很多，空间布局很合理，也很实用。以前小两口没买车，觉得买个小一点的车就够了。但现在出行经常有4个人，发现确实要这么大的空间。我1米75的个子，调整好前排的座位，再到后排，腿部还有两拳多，可以翘二郎腿，也可以打斗地主😃，如果挤挤，后排可以坐4个人，老婆坐副驾还可以躺着睡觉。老人家坐车容易晕车，但坐我这个车，不怎么晕，可能是空间大舒适性好的缘故吧（这一点比较优秀👍）。尾箱比较大，平时出行从来没装满过，宝宝的东西很多，包括儿童推车，一般的车都放不进，我的车能放得进去。可能要搬家，才能装得满吧。
240	整体空间都很不错。前排的驾驶空间非常的舒适，我的话大概是一米六，然后体重92。这个身高体重的话对于我来说是完全没有问题的，空间有很大的剩余。然后副驾驶的话。空间也很不错。我坐正驾驶席。座椅都不用往后调整。这样的话就给后排座椅足够的空间，解放了双腿。我这个车买了没多少天，也就两三个朋友做过吧。然后他们的评价还是蛮高的，都表示说以后有钱了也买一辆开开。后备箱目前还没有放东西了，但是光看着它的表面空间还是很足够的。
241	空间真的挺大的，我174的身高，开车能调到合适的位置，既不会觉得太远，也不会觉得顶头。而且扶手箱的设计，让我觉得整个驾驶空间特别开阔，在主驾驶开车的时候，完全不一样，无论是视野方面还是内部的空间，都让人感觉特别高级。有一次和朋友喝酒回家叫的代驾。做了一下后排，感觉也是异常得大啊，后排翘腿呆着很舒服啊，而且大概一个半小时的车程吧。坐后面什么姿势都不累，特别宽敞。
242	丰田凯美瑞的空间表现很好，新车开回家时就坐了5个人，我跟老婆坐前排，孩子跟爷爷奶奶坐后排，整个内饰空间表现很融洽并没有觉得空间方面的紧张感，车门内侧的小储物格以及扶手箱的空间都挺大，放手机放饮料或者一些随身的小物品都是足够的，还有后备箱的空间也非常的充裕，平常孩子的玩具或者去超市采买的日常家用通通都能放在里面而且还会有很大的空间剩余。
243	丰田凯美瑞是一辆中级轿车，整个内饰空间都是很宽敞的，坐在车里面是那种无拘无束的感觉，头部空间充足，腿部活动自由，就算偶尔遭遇满载的情况，前排两个成年人，后排三个成年人，只要都属于正常身材范畴对于这辆车的空间压力也不是很大的，2825的轴距尺寸已经很完美了，在同级别的中级轿车当中排名也是靠前的。
244	空间很大，我和未婚妻都是170以上的大高个儿，我俩每次出去，她睡后排我前排开车，前排驾驶位腿部空间很足，我1.20的小长腿也能申的很直。后排空间家用也够用，带爸妈出去玩后排坐两个人那可真是宽敞，真是享受哇，跟商务汽车一样！行李箱我也不太用，上次塞了5箱苹果绰绰有余！
245	空间平常使用完全足够了，感觉很宽敞。我一米八的个子坐在车里感觉依旧是很宽敞的感觉，丝毫不会有空间不足，挤的问题出现。后备箱很大很深，感觉能放很多很多东西，现在还没装满过，所以具体能放多少也不是很清楚。
246	空间方面总体方面还是比较宽敞的。特别是前排空间的表现显得可圈可点，头部和腿部有足够的伸展空间。乘坐体验比较舒适。不过后排空间就略微显得有些不足，主要体现在后排的地台上，地台设计的比较高，让稍微高一点的人坐在中间就显得有点折磨。不过总体来说还是值得称赞的的。后备箱空间对于我来说算是一个惊喜，空间非常的大。像我们家这样时而要出去自驾游的，放一些家人的行李、包放置都显得绰绰有余。
247	丰田凯美瑞的空间很充足，无论是我开车去谈生意还是作为一辆家用轿车使用表现都是很好的，前排与后排的空间很大，坐在车里面就是很放松的感觉，本人身高有178，头部与车顶之间有12公分左右的距离，膝盖与中控台的距离也是很充分的，后排坐三个成年人并不拥挤，经常性的接送客户去机场，后备箱的空间与后排的空间都是值得表扬的。
248	空间我感觉一向都是凯美瑞的非常大的一个优势，这台车的空间可以说不管是从前排的驾驶空间，还是从他的后排的乘坐空间来说，都是非常可以的，作为一台b级车，这样的空间表现也是应该的
249	一般买车都是为了享受而购买，不论是宽度还是长度还是轴距都是挺不错的，毕竟是中型车好，光尺寸就比别的车更大。前后乘坐5个人完全不在话下。空间上我觉得上车之后的感觉最重要，在车内完全不会感受到压力，挺宽敞亮堂的感觉。我个子177cm,坐在驾驶位上空间正好合适，头顶还有些许的空余，后排坐着跷二郎腿也很随意，空间大坐着就是舒服。后备箱不是很大，但也足够使用，底部平顺，存放行李箱也能放的进去，实用性还挺高。
250	空间要比之前的车强上许多，2825mm的轴距尺寸在同级别的中级轿车当中算是不错的，坐在车里面最真实的感受就是宽敞，我的身高有1.76米，头部空间差不多有一拳多，整个身体活动起来也是特别轻松的，后排是老婆和孩子的空间，怎么样嬉戏和打闹都是足够用的。
251	凯美瑞的空间是完全没有问题，超级大的空间，我身边的朋友个子都很高，因为我喜欢打篮球，身边的打篮球的朋友个子都很高，他们坐我凯美瑞都说空间很大，完全没有问题，后备箱的空间也完全没有问题，因为我平时还算是经常出差的，有很多东西还是要放在后备箱的，所以后备箱的空间对于我来说还是很重要的，现在凯美瑞的后备箱我完全不需要担心，凯美瑞的车内储物空间也是很多，特别是中控那一块下面有一个空间完全是一个世外桃源，从来没见过哪个车中控变速器那里可以做出这么大的空间储存东西的，而且那个空间特别的实用。
252	本人175主驾驶空间和膝部空间充裕，平时伸腿坐直没有压抑感觉。后排空间也很充裕，之间有地台，但是不高，坐三个人没有问题，平时小孩子坐中间玩耍，空间也很足。后备箱空间也很满意，当三四个箱子不是问题。主驾驶旁边有个小储物箱，可以放驾驶证和行驶证，中央扶手处有放置手机的地方，很方便。前排空间很足主驾驶边小储物箱手机放上去妥妥的
253	空间对于没成家的我绝对够，休息的时候载上女朋友去沈北玩，烧烤炉，折叠桌都能装下，余量还很大。前排中央扶手箱很深，特别能装。后排也有储物空间，能放点东西。我身高180，前后排都不会顶脑袋，在我的前排驾驶位置，我坐在后排能翘二郎腿。后排坐三个正常体型的人也不会很拥挤。总体来说空间足够，未来结婚有孩子之后也是足够的。
254	空间这个东西要分成三部分来看，首先如果说前排的话那实在是太舒服了，不仅座椅宽大，而且各种搭配也十分合理，根本就没有拥挤的感觉。后座其实也是比较宽的，只不过感觉座椅因为什么样的原因突然凸起了一块，对于个子高的人可能不是特别的友好。在后备箱方面由于车型设计的原因还是比较宽裕的，基本上装什么东西都也都能装下了，这方面来说还是不用让人担心的。
255	用车一个月了并没有遇到乘坐空间和储物空间不够用的情况。可以说车内各部分的空间都很大，前排座椅可调节的范围很灵活，想坐高点就调高想坐宽点就往后调，座椅靠背也可以随意微调角度。只要调节的角度准确高个子坐进去头部和车顶的空间也不会很拘谨。储物空间也很好，扶手箱又大又软平时和家人出去自驾游还可以放一盘水果零食在上面边吃边走，手扶箱下的空间很适合存放些随身物品，只是单层的设计存放不够灵活多变。
